騒然とする	そうぜんとする	시끄럽다
綿密な	めんみつな	면밀한
報じる	ほうじる	보도하다
及ぼす	およぼす	미치다
キャリア		경력
結束	けっそく	결속
背景	はいけい	배경
愛想	あいそ	붙임성
あえて		"감히, 굳이"
明かす	あかす	"밝히다, 털어놓다"
あっさり		"간단히, 깨끗이"
圧迫	あっぱく	압박
あやふや		"불확실함, 모호함"
誤る	あやまる	"실수하다, 잘못하다"
あらかじめ		"미리, 사전에"
ありのままに		있는 그대로
安静	あんせい	안정
いじる		만지작거리다
一連	いちれん	① 일련 ② 일행
一挙に	いっきょに	"일거에, 단숨에"
意図	いと	의도
いやらしい		불쾌하다
意欲	いよく	의욕
ウイルス		바이러스
うぬぼれる		자만하다
うっとうしい		① (기분 · 날씨) 울적하고 답답하다 ② 귀찮다
閲覧室	えつらんしつ	열람실
負う	おう	"짊어지다, 혜택을 입다"
大げさな	おおげさな	"과장된, 야단스러운"
おどおど		"쭈뼛쭈뼛, 벌벌"
オーバー		"오버, 초과"
おろか		어리석음
おろそか		소홀함
回収	かいしゅう	회수
改修	かいしゅう	"개수, 수리"
概説	がいせつ	개설
介入	かいにゅう	개입
革新	かくしん	혁신
過疎	かそ	"과소, 지나치게 드묾"
かつ		"동시에, 한편"
頑固な	がんこな	완고한
肝心な	かんじんな	"중요한, 요긴한"
カンニング		커닝
危害	きがい	위해
規格	きかく	규격
きっちり		꼭 맞는 모양
きっぱり		"딱 잘라, 단호하게"
規範	きはん	규범
気品	きひん	기품
興じる	きょうじる	"즐기다, 흥겨워하다"
覆す	くつがえす	뒤엎다
形勢	けいせい	형세
けなす		"혹평하다, 헐뜯다"
煙たい	けむたい	"맵고 싸하다, (대하기) 어렵다"
～圏	～けん	~권
権威	けんい	권위
健全な	けんぜんな	건전한
厳密な	げんみつな	엄밀한
向上	こうじょう	항상
心得	こころえ	"소양, 이해"
心強い	こころづよい	마음 든든하다
こじれる		"꼬이다, (병이) 악화되다"
誇張	こちょう	과장
こつ		요령
ことごとく		"모조리, 죄다"
ことによると		"어쩌면, 경우에 따라서는"
孤立	こりつ	고립
ごろごろ		데굴데굴
サイズ		사이즈
再発	さいはつ	재발
