合図	あいず	"(눈짓, 몸짓, 소리) 신호"
焼く	やく	"굽다, 태우다"
訳する	やくする	번역하다
家賃	やちん	집세
薬局	やっきょく	약국
破れる	やぶれる	"찢어지다, 깨지다"
郵便	ゆうびん	우편
ユーモア		유머
床	ゆか	마루
行き先	ゆきさき	"행선지, 목적지"
輸出	ゆしゅつ	수출
ゆでる		"데치다, 삶다"
緩い	ゆるい	"느슨하다, 헐렁하다"
許す	ゆるす	"용서하다, 허락하다"
容器	ようき	"용기, 그릇"
横	よこ	"옆, 가로"
呼び掛ける	よびかける	호소하다
予約	よやく	예약
リサイクル		"리사이클, 재활용"
立派な	りっぱな	훌륭한
理由	りゆう	이유
流行	りゅうこう	유행
～料	～りょう	~료
両替	りょうがえ	환전
料金	りょうきん	요금
留守	るす	부재중
列	れつ	"열, 행렬"
若い	わかい	젊다
別れる	わかれる	"헤어지다, 작별하다"
分ける	わける	"나누다, 분배하다"
笑う	わらう	웃다
割合	わりあい	비율
割引	わりびき	할인
割れる	われる	"갈라지다, 깨지다"
